date,gdp
1997-01-01,65.8573
1997-02-01,66.6678
1997-03-01,67.0115
1997-04-01,67.1756
1997-05-01,66.7668
1997-06-01,67.2318
1997-07-01,67.2741
1997-08-01,67.2954
1997-09-01,67.5214
1997-10-01,67.6817
1997-11-01,67.9796
1997-12-01,68.3715
1998-01-01,68.0311
1998-02-01,68.6773
1998-03-01,68.6804
1998-04-01,69.2472
1998-05-01,69.0932
1998-06-01,69.2853
1998-07-01,69.7831
1998-08-01,69.8301
1998-09-01,69.8822
1998-10-01,70.2256
1998-11-01,70.4392
1998-12-01,70.7328
1999-01-01,70.6601
1999-02-01,70.8813
1999-03-01,70.8137
1999-04-01,70.4869
1999-05-01,71.028
1999-06-01,71.1931
1999-07-01,72.119
1999-08-01,72.3705
1999-09-01,72.5595
1999-10-01,73.3952
1999-11-01,73.6095
1999-12-01,73.5803
2000-01-01,74.1167
2000-02-01,74.3413
2000-03-01,74.1303
2000-04-01,74.5571
2000-05-01,74.6623
2000-06-01,74.7648
2000-07-01,74.5647
2000-08-01,75.1623
2000-09-01,74.6861
2000-10-01,74.7568
2000-11-01,74.9185
2000-12-01,75.1912
2001-01-01,75.6431
2001-02-01,75.963
2001-03-01,76.2722
2001-04-01,76.4479
2001-05-01,76.5967
2001-06-01,76.8317
2001-07-01,76.9886
2001-08-01,77.2631
2001-09-01,77.1845
2001-10-01,77.5948
2001-11-01,77.5257
2001-12-01,77.4806
2002-01-01,77.726
2002-02-01,77.737
2002-03-01,78.0055
2002-04-01,78.5807
2002-05-01,78.9914
2002-06-01,77.2204
2002-07-01,78.4886
2002-08-01,78.9521
2002-09-01,79.1721
2002-10-01,79.3587
2002-11-01,79.5274
2002-12-01,79.5934
2003-01-01,79.9402
2003-02-01,80.278
2003-03-01,80.1155
2003-04-01,80.6523
2003-05-01,80.6072
2003-06-01,81.1715
2003-07-01,81.3538
2003-08-01,81.6359
2003-09-01,82.0606
2003-10-01,82.1592
2003-11-01,81.9889
2003-12-01,82.5869
2004-01-01,82.3865
2004-02-01,82.6544
2004-03-01,83.0279
2004-04-01,82.8442
2004-05-01,82.934
2004-06-01,83.2486
2004-07-01,83.2169
2004-08-01,83.3147
2004-09-01,83.5074
2004-10-01,83.6489
2004-11-01,83.8113
2004-12-01,83.8755
2005-01-01,84.7582
2005-02-01,84.5683
2005-03-01,84.3077
2005-04-01,85.5006
2005-05-01,85.4143
2005-06-01,85.8692
2005-07-01,86.6462
2005-08-01,86.569
2005-09-01,86.7931
2005-10-01,87.2292
2005-11-01,88.1614
2005-12-01,88.7564
2006-01-01,88.3964
2006-02-01,88.1784
2006-03-01,88.4754
2006-04-01,88.1912
2006-05-01,88.4678
2006-06-01,88.6942
2006-07-01,88.169
2006-08-01,88.532
2006-09-01,88.7656
2006-10-01,88.4004
2006-11-01,88.6652
2006-12-01,89.1494
2007-01-01,89.2158
2007-02-01,89.7418
2007-03-01,89.9818
2007-04-01,90.1076
2007-05-01,90.3155
2007-06-01,90.4973
2007-07-01,90.6902
2007-08-01,91.018
2007-09-01,91.2197
2007-10-01,91.1059
2007-11-01,91.7431
2007-12-01,92.0978
2008-01-01,92.1864
2008-02-01,92.5526
2008-03-01,91.7373
2008-04-01,92.2123
2008-05-01,91.3469
2008-06-01,91.0083
2008-07-01,90.474
2008-08-01,90.3967
2008-09-01,89.4985
2008-10-01,88.8632
2008-11-01,88.1101
2008-12-01,88.104
2009-01-01,87.3824
2009-02-01,87.0406
2009-03-01,86.1997
2009-04-01,87.1588
2009-05-01,86.254
2009-06-01,86.3174
2009-07-01,86.9117
2009-08-01,86.4054
2009-09-01,86.6713
2009-10-01,86.7707
2009-11-01,86.8019
2009-12-01,87.2148
2010-01-01,86.6209
2010-02-01,87.6633
2010-03-01,88.2793
2010-04-01,88.2145
2010-05-01,88.4944
2010-06-01,88.8261
2010-07-01,88.9935
2010-08-01,89.2884
2010-09-01,89.4595
2010-10-01,89.7074
2010-11-01,89.6488
2010-12-01,89.0157
2011-01-01,89.7114
2011-02-01,90.0709
2011-03-01,90.5793
2011-04-01,89.6735
2011-05-01,90.5076
2011-06-01,90.4087
2011-07-01,90.5981
2011-08-01,90.1739
2011-09-01,90.2729
2011-10-01,89.849
2011-11-01,90.735
2011-12-01,90.9232
2012-01-01,91.0895
2012-02-01,90.9189
2012-03-01,91.2482
2012-04-01,90.7597
2012-05-01,91.8621
2012-06-01,90.4632
2012-07-01,92.1885
2012-08-01,92.6993
2012-09-01,91.8343
2012-10-01,92.1486
2012-11-01,92.23
2012-12-01,91.9769
2013-01-01,92.3465
2013-02-01,93.0284
2013-03-01,92.9856
2013-04-01,93.1058
2013-05-01,93.3653
2013-06-01,93.4425
2013-07-01,93.8719
2013-08-01,94.1551
2013-09-01,94.1635
2013-10-01,94.555
2013-11-01,94.4058
2013-12-01,94.0591
2014-01-01,94.6148
2014-02-01,94.9459
2014-03-01,95.6008
2014-04-01,95.62
2014-05-01,95.8521
2014-06-01,95.9659
2014-07-01,96.3163
2014-08-01,96.2978
2014-09-01,96.4474
2014-10-01,96.7911
2014-11-01,96.9014
2014-12-01,96.9614
2015-01-01,97.0405
2015-02-01,97.2721
2015-03-01,97.4812
2015-04-01,97.9987
2015-05-01,97.8693
2015-06-01,97.9348
2015-07-01,98.2581
2015-08-01,98.0994
2015-09-01,98.3706
2015-10-01,98.7908
2015-11-01,98.891
2015-12-01,99.0889
2016-01-01,99.0064
2016-02-01,99.3355
2016-03-01,99.2283
2016-04-01,99.8875
2016-05-01,99.5116
2016-06-01,99.5906
2016-07-01,99.903
2016-08-01,100.1299
2016-09-01,100.5863
2016-10-01,100.5085
2016-11-01,100.9119
2016-12-01,101.4004
2017-01-01,101.5688
2017-02-01,101.3641
2017-03-01,101.5355
2017-04-01,101.5751
2017-05-01,101.748
2017-06-01,101.9122
2017-07-01,101.853
2017-08-01,102.1249
2017-09-01,102.3859
2017-10-01,102.2779
2017-11-01,102.5976
2017-12-01,102.9206
2018-01-01,103.0005
2018-02-01,102.6608
2018-03-01,102.7458
2018-04-01,103.0855
2018-05-01,103.4099
2018-06-01,103.7262
2018-07-01,104.0028
2018-08-01,104.1305
2018-09-01,104.1362
2018-10-01,104.4331
2018-11-01,104.5681
2018-12-01,104.1942
2019-01-01,104.7353
2019-02-01,105.0658
2019-03-01,105.1564
2019-04-01,104.6086
2019-05-01,104.8176
2019-06-01,105.0533
2019-07-01,105.4249
2019-08-01,105.2369
2019-09-01,105.2874
2019-10-01,105.4455
2019-11-01,105.0834
2019-12-01,105.4054